"PROPERTYID","FIELDNAME","PROPERTYNAME","VALUEID","VALUENAME","STATUS"
50,"AGE_BIN","AGE BIN",320,"~20",1
50,"AGE_BIN","AGE BIN",322,"~22",1
50,"AGE_BIN","AGE BIN",324,"~24",1
50,"AGE_BIN","AGE BIN",326,"~26",1
50,"AGE_BIN","AGE BIN",328,"~28",1
50,"AGE_BIN","AGE BIN",330,"~30",1
50,"AGE_BIN","AGE BIN",332,"~32",1
50,"AGE_BIN","AGE BIN",334,"~34",1
50,"AGE_BIN","AGE BIN",336,"~36",1
50,"AGE_BIN","AGE BIN",338,"~38",1
50,"AGE_BIN","AGE BIN",340,"~40",1
50,"AGE_BIN","AGE BIN",342,"~42",1
50,"AGE_BIN","AGE BIN",344,"~44",1
50,"AGE_BIN","AGE BIN",346,"~46",1
50,"AGE_BIN","AGE BIN",348,"~48",1
50,"AGE_BIN","AGE BIN",350,"~50",1
50,"AGE_BIN","AGE BIN",352,"~52",1
50,"AGE_BIN","AGE BIN",354,"~54",1
50,"AGE_BIN","AGE BIN",356,"~56",1
50,"AGE_BIN","AGE BIN",358,"~58",1
50,"AGE_BIN","AGE BIN",360,"~60",1
50,"AGE_BIN","AGE BIN",362,"~62",1
50,"AGE_BIN","AGE BIN",364,"~64",1
50,"AGE_BIN","AGE BIN",366,"~66",1
50,"AGE_BIN","AGE BIN",368,"~68",1
50,"AGE_BIN","AGE BIN",370,"~70",1
50,"AGE_BIN","AGE BIN",372,"~72",1
50,"AGE_BIN","AGE BIN",374,"~74",1
50,"AGE_BIN","AGE BIN",376,"~76",1
50,"AGE_BIN","AGE BIN",378,"~78",1
50,"AGE_BIN","AGE BIN",380,"~80",1
1,"OCC_INDUSTRY_PRID","Accounting",1,"Accounting",1
1,"OCC_INDUSTRY_PRID","Administration",2,"Administration",1
1,"OCC_INDUSTRY_PRID","Advertising / PR / Media",3,"Advertising / PR / Media",1
1,"OCC_INDUSTRY_PRID","Agricultural",4,"Agricultural",1
1,"OCC_INDUSTRY_PRID","Arts/Entertainment / Sport / Recreation",5,"Arts/Entertainment / Sport / Recreation",1
1,"OCC_INDUSTRY_PRID","Construction",6,"Construction",1
1,"OCC_INDUSTRY_PRID","Consulting",7,"Consulting",1
1,"OCC_INDUSTRY_PRID","Customer Service / Call Centres",8,"Customer Service / Call Centres",1
1,"OCC_INDUSTRY_PRID","Defence / Emergency Services",9,"Defence / Emergency Services",1
1,"OCC_INDUSTRY_PRID","Education / Science",10,"Education / Science",1
1,"OCC_INDUSTRY_PRID","Financial Services",11,"Financial Services",1
1,"OCC_INDUSTRY_PRID","Government",12,"Government",1
1,"OCC_INDUSTRY_PRID","Healthcare / Medical",13,"Healthcare / Medical",1
1,"OCC_INDUSTRY_PRID","Hospitality / Tourism / Travel",14,"Hospitality / Tourism / Travel",1
1,"OCC_INDUSTRY_PRID","HR/Employment / Training",15,"HR/Employment / Training",1
1,"OCC_INDUSTRY_PRID","IT / Telecoms",16,"IT / Telecoms",1
1,"OCC_INDUSTRY_PRID","Legal",17,"Legal",1
1,"OCC_INDUSTRY_PRID","Manufacturing / Industrial / Engineering",18,"Manufacturing / Industrial / Engineering",1
1,"OCC_INDUSTRY_PRID","Pharmaceutical / Biotechnology",19,"Pharmaceutical / Biotechnology",1
1,"OCC_INDUSTRY_PRID","Property / Real Estate",20,"Property / Real Estate",1
1,"OCC_INDUSTRY_PRID","Retail / Consumer/Personal Services",21,"Retail / Consumer/Personal Services",1
1,"OCC_INDUSTRY_PRID","Sales / Marketing",22,"Sales / Marketing",1
1,"OCC_INDUSTRY_PRID","Trades / Services",23,"Trades / Services",1
1,"OCC_INDUSTRY_PRID","Volunteer / Charity / Community",24,"Volunteer / Charity / Community",1
1,"OCC_INDUSTRY_PRID","Transport / Logistics / Warehousing",25,"Transport / Logistics / Warehousing",1
1,"OCC_INDUSTRY_PRID","Retired",26,"Retired",1
1,"OCC_INDUSTRY_PRID","Student",27,"Student",1
1,"OCC_INDUSTRY_PRID","Unemployed",28,"Unemployed",1
1,"OCC_INDUSTRY_PRID","Other",29,"Other",1
2,"OCC_LEVEL_PRID","Business Owner",30,"Business Owner",1
2,"OCC_LEVEL_PRID","Senior Management",31,"Senior Management",1
2,"OCC_LEVEL_PRID","Management",32,"Management",1
2,"OCC_LEVEL_PRID","Professional",33,"Professional",1
2,"OCC_LEVEL_PRID","Technical",34,"Technical",1
2,"OCC_LEVEL_PRID","Executive",35,"Executive",1
